Drug,Demand_Forecast,Optimal_Stock_Level,Restocking_Strategy,shortage_units,risk_level
Atorvastatin,9849,1677,Weekly,8172,HIGH
Metformin,9966,1797,Weekly,8169,HIGH
Insulin,9676,1513,Monthly,8163,HIGH
Metformin,9675,1513,Weekly,8162,HIGH
Lisinopril,9903,1743,Weekly,8160,HIGH
Lisinopril,9850,1692,Weekly,8158,HIGH
Insulin,9698,1542,Weekly,8156,HIGH
Insulin,9780,1624,Weekly,8156,HIGH
Metformin,9699,1545,Weekly,8154,HIGH
Lisinopril,9739,1589,Monthly,8150,HIGH
Metformin,9946,1799,Monthly,8147,HIGH
Lisinopril,9653,1506,Weekly,8147,HIGH
Metformin,9976,1833,Monthly,8143,HIGH
Lisinopril,9854,1712,Quarterly,8142,HIGH
Metformin,9854,1715,Quarterly,8139,HIGH
Metformin,9715,1580,Weekly,8135,HIGH
Metformin,9744,1611,Monthly,8133,HIGH
Insulin,9748,1617,Weekly,8131,HIGH
Atorvastatin,9750,1625,Quarterly,8125,HIGH
Atorvastatin,9761,1639,Monthly,8122,HIGH
Atorvastatin,9674,1553,Weekly,8121,HIGH
Lisinopril,9794,1678,Weekly,8116,HIGH
Lisinopril,9771,1658,Monthly,8113,HIGH
Insulin,9686,1574,Quarterly,8112,HIGH
Atorvastatin,9997,1885,Weekly,8112,HIGH
Metformin,9803,1691,Weekly,8112,HIGH
Atorvastatin,9813,1704,Quarterly,8109,HIGH
Lisinopril,9976,1869,Quarterly,8107,HIGH
Atorvastatin,9985,1880,Weekly,8105,HIGH
Atorvastatin,9771,1667,Weekly,8104,HIGH
Lisinopril,9939,1836,Weekly,8103,HIGH
Insulin,9733,1633,Quarterly,8100,HIGH
Metformin,9697,1598,Quarterly,8099,HIGH
Atorvastatin,9679,1580,Quarterly,8099,HIGH
Metformin,9666,1571,Weekly,8095,HIGH
Atorvastatin,9596,1502,Weekly,8094,HIGH
Insulin,9914,1822,Quarterly,8092,HIGH
Atorvastatin,9593,1505,Quarterly,8088,HIGH
Metformin,9850,1763,Quarterly,8087,HIGH
Insulin,9706,1623,Weekly,8083,HIGH
Metformin,9887,1812,Weekly,8075,HIGH
Lisinopril,9650,1576,Quarterly,8074,HIGH
Metformin,9820,1746,Quarterly,8074,HIGH
Metformin,9917,1843,Monthly,8074,HIGH
Metformin,9783,1709,Quarterly,8074,HIGH
Atorvastatin,9700,1627,Monthly,8073,HIGH
Insulin,9651,1578,Quarterly,8073,HIGH
Atorvastatin,9628,1559,Quarterly,8069,HIGH
Insulin,9895,1828,Monthly,8067,HIGH
Lisinopril,9922,1857,Quarterly,8065,HIGH
Insulin,9689,1624,Weekly,8065,HIGH
Lisinopril,9590,1525,Weekly,8065,HIGH
Insulin,9688,1626,Monthly,8062,HIGH
Lisinopril,9970,1908,Weekly,8062,HIGH
Metformin,9912,1851,Quarterly,8061,HIGH
Atorvastatin,9702,1642,Monthly,8060,HIGH
Insulin,9574,1514,Monthly,8060,HIGH
Atorvastatin,9892,1833,Monthly,8059,HIGH
Atorvastatin,9882,1824,Monthly,8058,HIGH
Atorvastatin,9751,1696,Monthly,8055,HIGH
Lisinopril,9568,1515,Monthly,8053,HIGH
Lisinopril,9618,1566,Weekly,8052,HIGH
Metformin,9845,1797,Weekly,8048,HIGH
Metformin,9771,1723,Monthly,8048,HIGH
Insulin,9800,1764,Quarterly,8036,HIGH
Insulin,9534,1500,Monthly,8034,HIGH
Atorvastatin,9743,1712,Monthly,8031,HIGH
Atorvastatin,9990,1960,Quarterly,8030,HIGH
Insulin,9650,1625,Quarterly,8025,HIGH
Metformin,9654,1630,Quarterly,8024,HIGH
Metformin,9542,1519,Quarterly,8023,HIGH
Insulin,9796,1773,Weekly,8023,HIGH
Lisinopril,9573,1551,Weekly,8022,HIGH
Metformin,9574,1552,Weekly,8022,HIGH
Atorvastatin,9885,1865,Quarterly,8020,HIGH
Insulin,9990,1972,Weekly,8018,HIGH
Atorvastatin,9518,1500,Quarterly,8018,HIGH
Metformin,9759,1743,Quarterly,8016,HIGH
Atorvastatin,9788,1776,Weekly,8012,HIGH
Atorvastatin,9911,1899,Monthly,8012,HIGH
Metformin,9901,1889,Monthly,8012,HIGH
Insulin,9740,1730,Quarterly,8010,HIGH
Lisinopril,9859,1851,Monthly,8008,HIGH
Metformin,9561,1556,Quarterly,8005,HIGH
Insulin,9774,1770,Monthly,8004,HIGH
Metformin,9752,1750,Monthly,8002,HIGH
Insulin,9683,1682,Quarterly,8001,HIGH
Atorvastatin,9661,1660,Quarterly,8001,HIGH
Insulin,9874,1875,Monthly,7999,HIGH
Insulin,9574,1578,Weekly,7996,HIGH
Lisinopril,9513,1517,Quarterly,7996,HIGH
Insulin,9956,1960,Weekly,7996,HIGH
Insulin,9957,1964,Weekly,7993,HIGH
Insulin,9884,1892,Monthly,7992,HIGH
Atorvastatin,9748,1757,Monthly,7991,HIGH
Insulin,9767,1780,Monthly,7987,HIGH
Lisinopril,9923,1936,Monthly,7987,HIGH
Lisinopril,9666,1679,Weekly,7987,HIGH
Metformin,9965,1978,Weekly,7987,HIGH
Insulin,9870,1884,Quarterly,7986,HIGH
Insulin,9654,1670,Quarterly,7984,HIGH
Metformin,9562,1580,Monthly,7982,HIGH
Insulin,9611,1631,Monthly,7980,HIGH
Metformin,9930,1951,Quarterly,7979,HIGH
Lisinopril,9801,1822,Weekly,7979,HIGH
Atorvastatin,9564,1585,Weekly,7979,HIGH
Insulin,9681,1703,Weekly,7978,HIGH
Atorvastatin,9626,1648,Quarterly,7978,HIGH
Metformin,9512,1537,Quarterly,7975,HIGH
Atorvastatin,9641,1667,Quarterly,7974,HIGH
Atorvastatin,9938,1968,Weekly,7970,HIGH
Insulin,9611,1643,Weekly,7968,HIGH
Metformin,9892,1930,Weekly,7962,HIGH
Insulin,9608,1646,Weekly,7962,HIGH
Insulin,9763,1808,Monthly,7955,HIGH
Insulin,9948,1993,Monthly,7955,HIGH
Metformin,9740,1788,Monthly,7952,HIGH
Insulin,9520,1569,Monthly,7951,HIGH
Insulin,9919,1968,Monthly,7951,HIGH
Atorvastatin,9451,1501,Weekly,7950,HIGH
Lisinopril,9627,1677,Monthly,7950,HIGH
Metformin,9904,1956,Weekly,7948,HIGH
Insulin,9933,1985,Monthly,7948,HIGH
Atorvastatin,9984,2037,Monthly,7947,HIGH
Metformin,9930,1983,Monthly,7947,HIGH
Lisinopril,9870,1925,Quarterly,7945,HIGH
Lisinopril,9470,1525,Quarterly,7945,HIGH
Metformin,9557,1613,Quarterly,7944,HIGH
Atorvastatin,9530,1586,Quarterly,7944,HIGH
Insulin,9898,1957,Quarterly,7941,HIGH
Insulin,9954,2013,Quarterly,7941,HIGH
Lisinopril,9848,1907,Monthly,7941,HIGH
Atorvastatin,9717,1776,Weekly,7941,HIGH
Atorvastatin,9557,1619,Weekly,7938,HIGH
Lisinopril,9539,1606,Quarterly,7933,HIGH
Lisinopril,9910,1978,Monthly,7932,HIGH
Lisinopril,9599,1670,Quarterly,7929,HIGH
Insulin,9794,1866,Weekly,7928,HIGH
Metformin,9968,2042,Monthly,7926,HIGH
Insulin,9684,1758,Weekly,7926,HIGH
Insulin,9504,1582,Weekly,7922,HIGH
Lisinopril,9979,2059,Quarterly,7920,HIGH
Insulin,9471,1551,Monthly,7920,HIGH
Insulin,9979,2059,Weekly,7920,HIGH
Insulin,9423,1508,Quarterly,7915,HIGH
Lisinopril,9856,1946,Weekly,7910,HIGH
Atorvastatin,9916,2011,Weekly,7905,HIGH
Insulin,9530,1625,Weekly,7905,HIGH
Lisinopril,9782,1880,Quarterly,7902,HIGH
Atorvastatin,9541,1640,Quarterly,7901,HIGH
Atorvastatin,9419,1519,Quarterly,7900,HIGH
Metformin,9545,1648,Weekly,7897,HIGH
Metformin,9753,1857,Quarterly,7896,HIGH
Lisinopril,9962,2067,Quarterly,7895,HIGH
Atorvastatin,9505,1611,Weekly,7894,HIGH
Atorvastatin,9686,1792,Monthly,7894,HIGH
Insulin,9908,2016,Quarterly,7892,HIGH
Lisinopril,9432,1541,Monthly,7891,HIGH
Insulin,9842,1952,Weekly,7890,HIGH
Metformin,9747,1858,Quarterly,7889,HIGH
Atorvastatin,9911,2028,Weekly,7883,HIGH
Insulin,9899,2017,Weekly,7882,HIGH
Atorvastatin,9858,1979,Monthly,7879,HIGH
Metformin,9878,2001,Monthly,7877,HIGH
Metformin,9815,1939,Quarterly,7876,HIGH
Lisinopril,9952,2078,Quarterly,7874,HIGH
Insulin,9735,1862,Monthly,7873,HIGH
Atorvastatin,9976,2103,Weekly,7873,HIGH
Atorvastatin,9845,1973,Weekly,7872,HIGH
Atorvastatin,9457,1585,Monthly,7872,HIGH
Atorvastatin,9581,1710,Monthly,7871,HIGH
Insulin,9943,2072,Weekly,7871,HIGH
Atorvastatin,9571,1704,Weekly,7867,HIGH
Metformin,9444,1578,Quarterly,7866,HIGH
Atorvastatin,9640,1778,Weekly,7862,HIGH
Atorvastatin,9374,1514,Weekly,7860,HIGH
Metformin,9543,1684,Monthly,7859,HIGH
Atorvastatin,9742,1886,Quarterly,7856,HIGH
Lisinopril,9557,1701,Monthly,7856,HIGH
Insulin,9627,1771,Quarterly,7856,HIGH
Lisinopril,9585,1731,Quarterly,7854,HIGH
Insulin,9363,1511,Monthly,7852,HIGH
Atorvastatin,9903,2057,Weekly,7846,HIGH
Lisinopril,9815,1972,Quarterly,7843,HIGH
Atorvastatin,9641,1799,Weekly,7842,HIGH
Atorvastatin,9472,1630,Quarterly,7842,HIGH
Lisinopril,9846,2005,Weekly,7841,HIGH
Lisinopril,9342,1501,Weekly,7841,HIGH
Metformin,9505,1665,Quarterly,7840,HIGH
Lisinopril,9821,1985,Quarterly,7836,HIGH
Metformin,9952,2116,Weekly,7836,HIGH
Lisinopril,9421,1590,Quarterly,7831,HIGH
Lisinopril,9661,1831,Monthly,7830,HIGH
Insulin,9804,1977,Quarterly,7827,HIGH
Insulin,9601,1776,Quarterly,7825,HIGH
Lisinopril,9370,1545,Quarterly,7825,HIGH
Atorvastatin,9846,2022,Weekly,7824,HIGH
Insulin,9975,2152,Weekly,7823,HIGH
Metformin,9352,1529,Monthly,7823,HIGH
Metformin,9713,1891,Monthly,7822,HIGH
Lisinopril,9334,1514,Weekly,7820,HIGH
Lisinopril,9324,1504,Weekly,7820,HIGH
Metformin,9904,2089,Quarterly,7815,HIGH
Metformin,9765,1950,Weekly,7815,HIGH
Metformin,9803,1988,Weekly,7815,HIGH
Lisinopril,9841,2027,Monthly,7814,HIGH
Insulin,9812,1998,Weekly,7814,HIGH
Lisinopril,9826,2012,Weekly,7814,HIGH
Metformin,9517,1705,Weekly,7812,HIGH
Insulin,9782,1970,Weekly,7812,HIGH
Atorvastatin,9841,2030,Monthly,7811,HIGH
Lisinopril,9371,1561,Quarterly,7810,HIGH
Metformin,9501,1692,Weekly,7809,HIGH
Insulin,9497,1688,Quarterly,7809,HIGH
Lisinopril,9732,1924,Monthly,7808,HIGH
Insulin,9348,1540,Quarterly,7808,HIGH
Insulin,9467,1660,Weekly,7807,HIGH
Lisinopril,9459,1654,Monthly,7805,HIGH
Lisinopril,9660,1855,Weekly,7805,HIGH
Metformin,9431,1627,Quarterly,7804,HIGH
Insulin,9356,1552,Monthly,7804,HIGH
Insulin,9699,1896,Weekly,7803,HIGH
Insulin,9485,1682,Weekly,7803,HIGH
Insulin,9749,1947,Quarterly,7802,HIGH
Metformin,9714,1914,Quarterly,7800,HIGH
Insulin,9418,1619,Weekly,7799,HIGH
Lisinopril,9693,1894,Quarterly,7799,HIGH
Metformin,9538,1740,Quarterly,7798,HIGH
Atorvastatin,9778,1981,Monthly,7797,HIGH
Metformin,9456,1662,Weekly,7794,HIGH
Lisinopril,9775,1982,Weekly,7793,HIGH
Metformin,9292,1501,Monthly,7791,HIGH
Atorvastatin,9601,1810,Monthly,7791,HIGH
Atorvastatin,9513,1723,Quarterly,7790,HIGH
Insulin,9736,1947,Monthly,7789,HIGH
Metformin,9899,2110,Quarterly,7789,HIGH
Metformin,9357,1569,Weekly,7788,HIGH
Atorvastatin,9817,2031,Monthly,7786,HIGH
Atorvastatin,9782,1996,Quarterly,7786,HIGH
Lisinopril,9995,2211,Quarterly,7784,HIGH
Insulin,9905,2121,Weekly,7784,HIGH
Metformin,9479,1696,Monthly,7783,HIGH
Lisinopril,9642,1859,Weekly,7783,HIGH
Metformin,9905,2124,Monthly,7781,HIGH
Atorvastatin,9542,1762,Quarterly,7780,HIGH
Atorvastatin,9572,1793,Weekly,7779,HIGH
Metformin,9578,1799,Monthly,7779,HIGH
Atorvastatin,9369,1593,Quarterly,7776,HIGH
Lisinopril,9624,1848,Monthly,7776,HIGH
Lisinopril,9279,1503,Weekly,7776,HIGH
Atorvastatin,9841,2066,Monthly,7775,HIGH
Metformin,9467,1692,Monthly,7775,HIGH
Atorvastatin,9509,1735,Monthly,7774,HIGH
Lisinopril,9821,2047,Weekly,7774,HIGH
Metformin,9442,1669,Monthly,7773,HIGH
Insulin,9341,1571,Quarterly,7770,HIGH
Atorvastatin,9783,2014,Monthly,7769,HIGH
Insulin,9768,1999,Monthly,7769,HIGH
Metformin,9411,1645,Quarterly,7766,HIGH
Atorvastatin,9548,1782,Quarterly,7766,HIGH
Atorvastatin,9558,1793,Weekly,7765,HIGH
Insulin,9499,1734,Weekly,7765,HIGH
Metformin,9293,1528,Weekly,7765,HIGH
Metformin,9997,2233,Weekly,7764,HIGH
Metformin,9786,2023,Weekly,7763,HIGH
Metformin,9272,1510,Weekly,7762,HIGH
Metformin,9503,1741,Monthly,7762,HIGH
Metformin,9768,2006,Weekly,7762,HIGH
Insulin,9622,1860,Monthly,7762,HIGH
Metformin,9990,2229,Quarterly,7761,HIGH
Lisinopril,9612,1851,Quarterly,7761,HIGH
Metformin,9989,2231,Monthly,7758,HIGH
Insulin,9372,1616,Quarterly,7756,HIGH
Lisinopril,9508,1753,Weekly,7755,HIGH
Insulin,9804,2050,Weekly,7754,HIGH
Atorvastatin,9592,1838,Weekly,7754,HIGH
Insulin,9933,2182,Monthly,7751,HIGH
Atorvastatin,9435,1684,Weekly,7751,HIGH
Metformin,9368,1619,Monthly,7749,HIGH
Atorvastatin,9490,1742,Quarterly,7748,HIGH
Lisinopril,9300,1552,Quarterly,7748,HIGH
Lisinopril,9542,1799,Weekly,7743,HIGH
Insulin,9791,2050,Monthly,7741,HIGH
Atorvastatin,9958,2218,Weekly,7740,HIGH
Metformin,9629,1890,Monthly,7739,HIGH
Insulin,9664,1926,Weekly,7738,HIGH
Insulin,9770,2032,Monthly,7738,HIGH
Lisinopril,9993,2265,Weekly,7728,HIGH
Insulin,9867,2139,Weekly,7728,HIGH
Atorvastatin,9790,2062,Weekly,7728,HIGH
Atorvastatin,9683,1956,Quarterly,7727,HIGH
Insulin,9430,1706,Weekly,7724,HIGH
Lisinopril,9989,2266,Monthly,7723,HIGH
Metformin,9896,2176,Monthly,7720,HIGH
Lisinopril,9619,1900,Monthly,7719,HIGH
Atorvastatin,9581,1863,Weekly,7718,HIGH
Insulin,9988,2271,Monthly,7717,HIGH
Lisinopril,9310,1593,Weekly,7717,HIGH
Atorvastatin,9218,1503,Quarterly,7715,HIGH
Metformin,9233,1519,Monthly,7714,HIGH
Atorvastatin,9838,2125,Monthly,7713,HIGH
Atorvastatin,9257,1544,Weekly,7713,HIGH
Atorvastatin,9944,2232,Quarterly,7712,HIGH
Insulin,9782,2071,Monthly,7711,HIGH
Metformin,9795,2084,Monthly,7711,HIGH
Metformin,9715,2005,Quarterly,7710,HIGH
Insulin,9369,1659,Quarterly,7710,HIGH
Metformin,9547,1838,Monthly,7709,HIGH
Insulin,9405,1696,Quarterly,7709,HIGH
Metformin,9505,1797,Quarterly,7708,HIGH
Lisinopril,9894,2186,Weekly,7708,HIGH
Metformin,9835,2127,Weekly,7708,HIGH
Lisinopril,9444,1736,Quarterly,7708,HIGH
Metformin,9932,2226,Monthly,7706,HIGH
Insulin,9553,1847,Quarterly,7706,HIGH
Insulin,9438,1733,Quarterly,7705,HIGH
Metformin,9822,2118,Weekly,7704,HIGH
Insulin,9827,2124,Weekly,7703,HIGH
Atorvastatin,9274,1574,Weekly,7700,HIGH
Atorvastatin,9755,2056,Weekly,7699,HIGH
Insulin,9732,2033,Monthly,7699,HIGH
Lisinopril,9637,1939,Weekly,7698,HIGH
Lisinopril,9965,2268,Weekly,7697,HIGH
Metformin,9841,2144,Quarterly,7697,HIGH
Metformin,9776,2080,Weekly,7696,HIGH
Atorvastatin,9698,2002,Quarterly,7696,HIGH
Atorvastatin,9699,2004,Monthly,7695,HIGH
Insulin,9636,1942,Weekly,7694,HIGH
Insulin,9450,1758,Weekly,7692,HIGH
Metformin,9426,1735,Weekly,7691,HIGH
Atorvastatin,9212,1521,Weekly,7691,HIGH
Metformin,9829,2138,Quarterly,7691,HIGH
Lisinopril,9826,2136,Quarterly,7690,HIGH
Atorvastatin,9446,1756,Monthly,7690,HIGH
Insulin,9361,1672,Monthly,7689,HIGH
Metformin,9457,1769,Monthly,7688,HIGH
Insulin,9384,1699,Monthly,7685,HIGH
Metformin,9363,1678,Monthly,7685,HIGH
Insulin,9947,2262,Quarterly,7685,HIGH
Lisinopril,9755,2071,Weekly,7684,HIGH
Insulin,9621,1937,Quarterly,7684,HIGH
Lisinopril,9445,1762,Weekly,7683,HIGH
Insulin,9655,1972,Monthly,7683,HIGH
Atorvastatin,9734,2051,Weekly,7683,HIGH
Lisinopril,9969,2290,Weekly,7679,HIGH
Insulin,9845,2166,Quarterly,7679,HIGH
Atorvastatin,9343,1665,Quarterly,7678,HIGH
Insulin,9960,2285,Weekly,7675,HIGH
Metformin,9766,2094,Quarterly,7672,HIGH
Lisinopril,9247,1577,Weekly,7670,HIGH
Insulin,9610,1941,Weekly,7669,HIGH
Metformin,9998,2329,Monthly,7669,HIGH
Insulin,9862,2195,Quarterly,7667,HIGH
Atorvastatin,9276,1612,Weekly,7664,HIGH
Lisinopril,9292,1629,Monthly,7663,HIGH
Atorvastatin,9944,2282,Quarterly,7662,HIGH
Atorvastatin,9288,1626,Monthly,7662,HIGH
Atorvastatin,9976,2316,Weekly,7660,HIGH
Metformin,9620,1960,Weekly,7660,HIGH
Atorvastatin,9915,2256,Weekly,7659,HIGH
Lisinopril,9796,2138,Quarterly,7658,HIGH
Atorvastatin,9830,2173,Weekly,7657,HIGH
Metformin,9389,1735,Quarterly,7654,HIGH
Metformin,9748,2095,Quarterly,7653,HIGH
Insulin,9220,1567,Quarterly,7653,HIGH
Metformin,9781,2129,Weekly,7652,HIGH
Insulin,9817,2165,Quarterly,7652,HIGH
Insulin,9703,2056,Quarterly,7647,HIGH
Lisinopril,9337,1691,Weekly,7646,HIGH
Lisinopril,9157,1512,Weekly,7645,HIGH
Metformin,9248,1604,Weekly,7644,HIGH
Lisinopril,9192,1549,Quarterly,7643,HIGH
Insulin,9365,1722,Monthly,7643,HIGH
Metformin,9989,2347,Monthly,7642,HIGH
Metformin,9456,1814,Weekly,7642,HIGH
Insulin,9686,2044,Weekly,7642,HIGH
Metformin,9294,1653,Monthly,7641,HIGH
Atorvastatin,9612,1972,Weekly,7640,HIGH
Lisinopril,9156,1516,Weekly,7640,HIGH
Insulin,9918,2278,Quarterly,7640,HIGH
Atorvastatin,9649,2010,Weekly,7639,HIGH
Metformin,9163,1524,Monthly,7639,HIGH
Lisinopril,9755,2117,Quarterly,7638,HIGH
Atorvastatin,9896,2259,Quarterly,7637,HIGH
Lisinopril,9873,2240,Weekly,7633,HIGH
Insulin,9433,1800,Quarterly,7633,HIGH
Atorvastatin,9720,2087,Weekly,7633,HIGH
Insulin,9170,1538,Weekly,7632,HIGH
Atorvastatin,9811,2181,Weekly,7630,HIGH
Lisinopril,9253,1623,Quarterly,7630,HIGH
Metformin,9611,1981,Monthly,7630,HIGH
Metformin,9482,1854,Weekly,7628,HIGH
Atorvastatin,9189,1561,Quarterly,7628,HIGH
Metformin,9448,1821,Monthly,7627,HIGH
Atorvastatin,9801,2176,Quarterly,7625,HIGH
Atorvastatin,9948,2324,Quarterly,7624,HIGH
Lisinopril,9297,1674,Monthly,7623,HIGH
Lisinopril,9307,1684,Quarterly,7623,HIGH
Insulin,9759,2136,Quarterly,7623,HIGH
Insulin,9888,2267,Quarterly,7621,HIGH
Insulin,9973,2353,Monthly,7620,HIGH
Lisinopril,9131,1512,Weekly,7619,HIGH
Insulin,9403,1785,Monthly,7618,HIGH
Atorvastatin,9303,1687,Monthly,7616,HIGH
Atorvastatin,9845,2229,Monthly,7616,HIGH
Lisinopril,9354,1738,Monthly,7616,HIGH
Atorvastatin,9714,2101,Quarterly,7613,HIGH
Insulin,9847,2234,Monthly,7613,HIGH
Atorvastatin,9270,1658,Quarterly,7612,HIGH
Atorvastatin,9869,2258,Quarterly,7611,HIGH
Metformin,9395,1785,Quarterly,7610,HIGH
Metformin,9959,2353,Weekly,7606,HIGH
Insulin,9872,2267,Weekly,7605,HIGH
Insulin,9137,1533,Quarterly,7604,HIGH
Metformin,9203,1600,Monthly,7603,HIGH
Atorvastatin,9958,2358,Quarterly,7600,HIGH
Insulin,9810,2210,Weekly,7600,HIGH
Lisinopril,9412,1815,Monthly,7597,HIGH
Lisinopril,9322,1725,Quarterly,7597,HIGH
Insulin,9479,1883,Monthly,7596,HIGH
Insulin,9563,1967,Weekly,7596,HIGH
Lisinopril,9111,1516,Monthly,7595,HIGH
Metformin,9684,2090,Monthly,7594,HIGH
Metformin,9787,2194,Monthly,7593,HIGH
Insulin,9791,2199,Quarterly,7592,HIGH
Insulin,9959,2367,Quarterly,7592,HIGH
Insulin,9383,1792,Monthly,7591,HIGH
Insulin,9626,2035,Weekly,7591,HIGH
Lisinopril,9186,1595,Quarterly,7591,HIGH
Insulin,9420,1830,Weekly,7590,HIGH
Lisinopril,9239,1649,Quarterly,7590,HIGH
Insulin,9615,2027,Weekly,7588,HIGH
Metformin,9429,1841,Quarterly,7588,HIGH
Insulin,9189,1601,Weekly,7588,HIGH
Metformin,9523,1936,Weekly,7587,HIGH
Atorvastatin,9390,1804,Monthly,7586,HIGH
Atorvastatin,9882,2299,Weekly,7583,HIGH
Insulin,9177,1595,Monthly,7582,HIGH
Metformin,9120,1539,Monthly,7581,HIGH
Insulin,9429,1848,Monthly,7581,HIGH
Insulin,9500,1919,Weekly,7581,HIGH
Insulin,9342,1761,Weekly,7581,HIGH
Metformin,9299,1719,Quarterly,7580,HIGH
Lisinopril,9709,2130,Quarterly,7579,HIGH
Lisinopril,9962,2384,Quarterly,7578,HIGH
Metformin,9600,2023,Monthly,7577,HIGH
Insulin,9475,1899,Quarterly,7576,HIGH
Lisinopril,9811,2236,Weekly,7575,HIGH
Insulin,9330,1755,Monthly,7575,HIGH
Insulin,9636,2063,Quarterly,7573,HIGH
Metformin,9515,1944,Weekly,7571,HIGH
Metformin,9870,2300,Weekly,7570,HIGH
Lisinopril,9727,2157,Monthly,7570,HIGH
Insulin,9788,2221,Quarterly,7567,HIGH
Metformin,9469,1902,Monthly,7567,HIGH
Atorvastatin,9235,1669,Quarterly,7566,HIGH
Metformin,9978,2412,Quarterly,7566,HIGH
Lisinopril,9728,2165,Weekly,7563,HIGH
Metformin,9870,2309,Quarterly,7561,HIGH
Atorvastatin,9836,2276,Quarterly,7560,HIGH
Insulin,9188,1628,Monthly,7560,HIGH
Metformin,9784,2224,Quarterly,7560,HIGH
Insulin,9414,1858,Monthly,7556,HIGH
Atorvastatin,9944,2391,Quarterly,7553,HIGH
Atorvastatin,9812,2259,Monthly,7553,HIGH
Lisinopril,9160,1609,Quarterly,7551,HIGH
Lisinopril,9723,2173,Monthly,7550,HIGH
Lisinopril,9993,2443,Monthly,7550,HIGH
Insulin,9947,2398,Monthly,7549,HIGH
Atorvastatin,9394,1845,Quarterly,7549,HIGH
Insulin,9518,1971,Weekly,7547,HIGH
Atorvastatin,9706,2160,Weekly,7546,HIGH
Metformin,9995,2450,Monthly,7545,HIGH
Atorvastatin,9662,2117,Quarterly,7545,HIGH
Metformin,9516,1972,Monthly,7544,HIGH
Insulin,9963,2419,Monthly,7544,HIGH
Lisinopril,9156,1613,Monthly,7543,HIGH
Metformin,9105,1564,Weekly,7541,HIGH
Lisinopril,9207,1669,Weekly,7538,HIGH
Lisinopril,9677,2140,Weekly,7537,HIGH
Metformin,9110,1573,Quarterly,7537,HIGH
Insulin,9732,2195,Monthly,7537,HIGH
Metformin,9267,1731,Monthly,7536,HIGH
Insulin,9169,1634,Monthly,7535,HIGH
Lisinopril,9963,2428,Quarterly,7535,HIGH
